"est","CI_lo","CI_hi","outcome","study"
0.185005313341451,0.0889464642285061,0.281064162454396,"Salience","Study 1, DK"
-0.0427020016257712,-0.0855321383014523,0.000128135049909932,"Highway opposition","Study 1, DK"
-0.0456542875225195,-0.0951025719966538,0.00379399695161478,"Govt. dissatisf.","Study 1, DK"
0.00995701962308408,-0.0268264632963129,0.046740502542481,"Concern","Study 1, DK"
-0.0240779441022154,-0.0659219618990975,0.0177660736946667,"Behavior intent","Study 1, DK"
