"caseid","Treated","Treated_timer","weight_w2","Salience_1","Salience_2","Salience_3","Concern_humanity","Concern_myself","Govt","Highway","Policy_tax","Policy_goal","Behavior_donate","Behavior_march","Concern_humanity_w2","Concern_myself_w2","Govt_w2","Highway_w2","Policy_tax_w2","Policy_goal_w2","Behavior_donate_w2","Behavior_march_w2","Control_heardaction","Salience_1_w2","Salience_2_w2","Salience_3_w2","FT_next_block","FT_next","region","gender","age","profile_age_rec","hovedstaden","FT_next_wing","SalienceClim_any","SalienceClim_any_w2","SalienceClim_noenv","Manipulation_answer","Manipulation_correct","Manipulation_protest","SalienceClim_any_diff","Concern_humanity_diff","Concern_myself_diff","Govt_diff","Highway_diff","Policy_tax_diff","Policy_goal_diff","Behavior_donate_diff","Behavior_march_diff","Concern_diff","Policy_diff","Behavior_diff","Concern","Policy","Behavior","Concern_w2","Policy_w2","Behavior_w2"
5698165000,1,42.376,1.31931356257,"Klima","Miljø","Sociale forhold",7,7,5,4,5,4,7,7,1,7,6,4,5,4,7,7,NA,"Klimakrisen","Underbemanding på daginsitutionerne","Miljøet",1,"Ø. Enhedslisten - De Rød-Grønne","Middle Jutland","Male",67,"55+",FALSE,"left",TRUE,TRUE,TRUE,"Udbygning af motorvejsnettet",1,0,0,-6,0,1,0,0,0,0,0,-3,0,0,7,4.5,7,4,4.5,7
5698165004,1,14.157,1.33318974684,"Ansættelsesstop i sygeplejen","Ikke nok plads i psykiatrien","?",4,4,4,2,3,4,1,1,5,3,4,2,2,3,2,1,NA,"Sundhedsvæsenet","Økonomi","",2,"I. Liberal Alliance","Middle Jutland","Female",25,"18-34",FALSE,"right",FALSE,FALSE,FALSE,"Nye motorveje",1,0,0,1,-1,0,0,-1,-1,1,0,0,-1,0.5,4,3.5,1,4,2.5,1.5
5698165006,1,7.203,1.25078343713,"Kriminalitet","Økonomi","Indvandring",4,4,6,2,1,3,1,1,3,3,6,1,1,1,1,1,NA,"Kriminelle flygtninge","Flygtninge","Velfærdsområdet",2,"Æ. Danmarksdemokraterne - Inger Støjberg","Middle Jutland","Male",49,"35-54",FALSE,"right",FALSE,FALSE,FALSE,"Deres egen, uvidende, ignorance",0,1,0,-1,-1,0,-1,0,-2,0,0,-1,-1,0,4,2,1,3,1,1
5698165166,1,26.98,1.22539677105,"ringe folkepension","indvandring","ælreplejen",2,4,1,4,1,1,1,1,3,3,1,3,1,1,1,1,NA,"udlændingepolitikken","at de ældre bliver set","sundhed-syghuse",2,"Æ. Danmarksdemokraterne - Inger Støjberg","Southern Denmark","Female",69,"55+",FALSE,"right",FALSE,FALSE,FALSE,"dem selv",0,0,0,1,-1,0,-1,0,0,0,0,0,0,0,3,1,1,3,1,1
5698170260,1,4.14,1.4852295591,"Økonomi","Krig","Miljø",6,6,3,4,3,NA,2,2,7,7,3,4,4,4,2,1,NA,"Klima","Økonomi","Krig",1,"A. Socialdemokratiet","Zealand","Female",63,"55+",FALSE,"left",TRUE,TRUE,FALSE,"Ved ikke",0,0,0,1,1,0,0,1,NA,0,-1,1,1,-0.5,6,3,2,7,4,1.5
5698217694,0,0,0.734538285415,"klima","ældre pleje","it sikkerhed",7,7,5,2,5,5,5,1,7,7,1,1,5,4,6,6,0,"klimaet","krig i europa","fattige danskere",2,"C. Det Konservative Folkeparti","Capital region","Male",39,"35-54",TRUE,"right",TRUE,TRUE,TRUE,NA,0,0,0,0,0,-4,-1,0,-1,1,5,0,-0.5,3,7,5,3,7,4.5,6
5698222982,1,21.366,0.734538285415,"Klima","Økonomi","Kriminalitet",3,6,1,2,4,2,1,1,5,4,4,2,4,5,1,1,NA,"økonomi","sundhed","klima",1,"A. Socialdemokratiet","Capital region","Male",42,"35-54",TRUE,"left",TRUE,TRUE,TRUE,"Ved ikke",0,0,0,2,-2,3,0,0,3,0,0,0,1.5,0,4.5,3,1,4.5,4.5,1
5698231256,0,0,1.33318974684,"Velfærdssystemet","Sundhedssystemet","Mangel på sundhedsfagligt personale samt pædagoger",7,6,3,4,3,4,1,1,5,6,3,NA,2,4,1,1,0,"Krigen i Ukraine","Inflation","Manglerne i sundhedssystemet",NA,"Ved ikke","Middle Jutland","Female",23,"18-34",FALSE,"other",FALSE,FALSE,FALSE,NA,0,0,0,-2,0,0,NA,-1,0,0,0,-1,-0.5,0,6.5,3.5,1,5.5,3,1
5698231264,0,0,0.734538285415,"Ældreplejen","Energipriser","Inflation",7,5,4,5,3,3,2,2,6,4,5,5,4,5,3,2,1,"Inflation","Sygevæsen","Ældrepleje",2,"I. Liberal Alliance","Capital region","Male",49,"35-54",TRUE,"right",FALSE,FALSE,FALSE,"Ved ikke",0,0,0,-1,-1,1,0,1,2,1,0,-1,1.5,0.5,6,3,2,5,4.5,2.5
5698231268,1,4.317,0.734538285415,"klima","","",7,5,5,4,4,3,5,3,7,7,5,3,4,3,4,4,NA,"klima","","",2,"O. Dansk Folkeparti","Capital region","Male",51,"35-54",TRUE,"right",TRUE,TRUE,TRUE,"klima",1,0,0,0,2,0,-1,0,0,-1,1,1,0,0,6,3.5,4,7,3.5,4
