"est","CI_lo","CI_hi","outcome","study"
0.0992907801418427,0.0407686497273958,0.15781291055629,"Salience","Study 2, UK"
-0.0345873786407763,-0.0626190384173113,-0.00655571886424133,"Oil opposition","Study 2, UK"
0.00972671172494868,-0.0165504547158938,0.0360038781657911,"Govt. dissatisf.","Study 2, UK"
-0.000581657616579518,-0.0183577304705295,0.0171944152373705,"Concern","Study 2, UK"
-0.0146825396825398,-0.0342146090420357,0.00484952967695606,"Behavior intent","Study 2, UK"
